sample,Tree,Latitude,Longitude
A31T186.1_31,A31T186,51.423329,-0.28414626
A31T186.1_32,A31T186,51.423329,-0.28414626
A31T186.1_33,A31T186,51.423329,-0.28414626
A31T186.1_34,A31T186,51.423329,-0.28414626
A31T186.1_35,A31T186,51.423329,-0.28414626
A31T186.1_36,A31T186,51.423329,-0.28414626
A31T186.1_37,A31T186,51.423329,-0.28414626
A31T186.1_38,A31T186,51.423329,-0.28414626
A31T186.1_39,A31T186,51.423329,-0.28414626
A31T186.1_4,A31T186,51.423329,-0.28414626
A31T186.1_40,A31T186,51.423329,-0.28414626
A31T186.1_41,A31T186,51.423329,-0.28414626
A31T186.1_42,A31T186,51.423329,-0.28414626
A31T186.1_43,A31T186,51.423329,-0.28414626
A31T186.1_44,A31T186,51.423329,-0.28414626
A31T186.1_45,A31T186,51.423329,-0.28414626
A31T186.1_46,A31T186,51.423329,-0.28414626
A31T186.1_5,A31T186,51.423329,-0.28414626
A31T186.1_6,A31T186,51.423329,-0.28414626
A31T186.1_7,A31T186,51.423329,-0.28414626
A31T186.1_8,A31T186,51.423329,-0.28414626
A31T186.1_9,A31T186,51.423329,-0.28414626
A31T186.2_1,A31T186,51.423329,-0.28414626
A31T186.2_10,A31T186,51.423329,-0.28414626
A31T186.2_11,A31T186,51.423329,-0.28414626
A31T186.2_12,A31T186,51.423329,-0.28414626
A31T186.2_13,A31T186,51.423329,-0.28414626
A31T186.2_14,A31T186,51.423329,-0.28414626
A31T186.2_15,A31T186,51.423329,-0.28414626
A31T186.2_16,A31T186,51.423329,-0.28414626
A31T186.2_17,A31T186,51.423329,-0.28414626
A31T186.2_18,A31T186,51.423329,-0.28414626
A31T186.2_19,A31T186,51.423329,-0.28414626
A31T186.2_2,A31T186,51.423329,-0.28414626
A31T186.2_20,A31T186,51.423329,-0.28414626
A31T186.2_21,A31T186,51.423329,-0.28414626
A31T186.2_3,A31T186,51.423329,-0.28414626
A31T186.2_4,A31T186,51.423329,-0.28414626
A31T186.2_5,A31T186,51.423329,-0.28414626
A31T186.2_6,A31T186,51.423329,-0.28414626
A31T186.2_7,A31T186,51.423329,-0.28414626
A31T186.2_8,A31T186,51.423329,-0.28414626
A31T186.2_9,A31T186,51.423329,-0.28414626
A31T186.3_1,A31T186,51.423329,-0.28414626
A31T186.3_10,A31T186,51.423329,-0.28414626
A31T186.3_2,A31T186,51.423329,-0.28414626
A31T186.3_3,A31T186,51.423329,-0.28414626
A31T186.3_4,A31T186,51.423329,-0.28414626
A31T186.3_5,A31T186,51.423329,-0.28414626
A31T186.3_6,A31T186,51.423329,-0.28414626
A31T186.3_7,A31T186,51.423329,-0.28414626
A31T186.3_8,A31T186,51.423329,-0.28414626
A31T186.3_9,A31T186,51.423329,-0.28414626
A31T52.1_1,A31T52,51.423578,-0.2839787
A31T52.1_10,A31T52,51.423578,-0.2839787
A31T52.1_100,A31T52,51.423578,-0.2839787
A31T52.1_101,A31T52,51.423578,-0.2839787
A31T52.1_102,A31T52,51.423578,-0.2839787
A31T52.1_103,A31T52,51.423578,-0.2839787
A31T52.1_104,A31T52,51.423578,-0.2839787
A31T52.1_105,A31T52,51.423578,-0.2839787
A31T52.1_106,A31T52,51.423578,-0.2839787
A31T52.1_107,A31T52,51.423578,-0.2839787
A31T52.1_108,A31T52,51.423578,-0.2839787
A31T52.1_109,A31T52,51.423578,-0.2839787
A31T52.1_11,A31T52,51.423578,-0.2839787
A31T52.1_110,A31T52,51.423578,-0.2839787
A31T52.1_111,A31T52,51.423578,-0.2839787
A31T52.1_112,A31T52,51.423578,-0.2839787
A31T52.1_113,A31T52,51.423578,-0.2839787
A31T52.1_114,A31T52,51.423578,-0.2839787
A31T52.1_115,A31T52,51.423578,-0.2839787
A31T52.1_116,A31T52,51.423578,-0.2839787
A31T52.1_117,A31T52,51.423578,-0.2839787
A31T52.1_12,A31T52,51.423578,-0.2839787
A31T52.1_13,A31T52,51.423578,-0.2839787
